complaint_id,bike_brand,bike_model,problem_category,problem_description,mileage_km,manufacturing_year,severity
755,TVS,Classic 350,Electrical,Poor mileage compared to normal,56221,2021,Medium
756,Honda,FZ,Suspension,Gear shifting feels hard,7778,2021,High
757,Yamaha,FZ,Fuel System,Brake pads wearing out too fast,32197,2023,High
758,Suzuki,Duke 200,Suspension,Engine making unusual noise,12538,2023,High
759,TVS,Access 125,Overheating,Poor mileage compared to normal,45843,2016,High
760,Royal Enfield,Splendor,Suspension,Battery drains quickly,10406,2021,Medium
761,Honda,Classic 350,Transmission,Poor mileage compared to normal,7772,2021,Medium
762,Bajaj,Classic 350,Transmission,Battery drains quickly,26131,2019,Medium
763,KTM,FZ,Suspension,Engine making unusual noise,17729,2016,High
764,Royal Enfield,FZ,Suspension,Bike not starting consistently,40201,2017,Low
765,Hero,R15,Overheating,Bike not starting consistently,6979,2015,Low
766,TVS,Access 125,Brakes,Brake pads wearing out too fast,25887,2024,Medium
767,Hero,Access 125,Electrical,Brake pads wearing out too fast,27602,2015,High
768,Royal Enfield,Splendor,Engine,Poor mileage compared to normal,53507,2016,Medium
769,Hero,R15,Overheating,Poor mileage compared to normal,17607,2018,Medium
770,Hero,Splendor,Overheating,Brake pads wearing out too fast,37037,2024,High
771,Honda,R15,Electrical,Engine making unusual noise,32736,2019,Medium
772,Royal Enfield,Access 125,Brakes,Poor mileage compared to normal,45332,2015,Low
773,Suzuki,Duke 200,Electrical,Excessive vibration at high speed,59809,2016,Medium
774,Suzuki,R15,Brakes,Battery drains quickly,41145,2019,Medium
775,TVS,Access 125,Suspension,Excessive vibration at high speed,59600,2022,High
776,KTM,Apache,Electrical,Excessive vibration at high speed,49690,2020,Medium
777,KTM,Apache,Suspension,Excessive vibration at high speed,38513,2024,Low
778,TVS,Access 125,Engine,Bike not starting consistently,26903,2015,High
779,Yamaha,Access 125,Overheating,Bike not starting consistently,20125,2023,High
780,TVS,Apache,Suspension,Engine making unusual noise,3279,2022,Medium
781,Hero,Pulsar,Brakes,Battery drains quickly,38642,2022,Low
782,Honda,Apache,Fuel System,Brake pads wearing out too fast,32749,2017,High
783,TVS,Duke 200,Overheating,Engine making unusual noise,18374,2020,Low
784,Yamaha,Access 125,Overheating,Gear shifting feels hard,26745,2024,Medium
785,Royal Enfield,R15,Engine,Engine making unusual noise,3160,2022,Low
786,Bajaj,Access 125,Suspension,Bike not starting consistently,43301,2021,High
787,Yamaha,Pulsar,Suspension,Engine making unusual noise,35718,2024,Low
788,Yamaha,FZ,Transmission,Bike not starting consistently,49637,2021,High
789,Suzuki,Apache,Overheating,Poor mileage compared to normal,19986,2021,High
790,Royal Enfield,Pulsar,Suspension,Poor mileage compared to normal,52792,2024,Low
791,Honda,Pulsar,Electrical,Bike not starting consistently,41818,2015,High
792,Yamaha,Classic 350,Engine,Bike not starting consistently,20002,2022,High
793,Honda,Classic 350,Brakes,Bike not starting consistently,13579,2023,High
794,Honda,Apache,Brakes,Brake pads wearing out too fast,36028,2016,High
795,Bajaj,Duke 200,Brakes,Overheating during long rides,8620,2023,High
796,TVS,R15,Brakes,Bike not starting consistently,18933,2021,High
797,Royal Enfield,Duke 200,Suspension,Overheating during long rides,38235,2019,Low
798,Honda,Duke 200,Suspension,Overheating during long rides,43774,2022,Low
799,Yamaha,R15,Electrical,Brake pads wearing out too fast,8321,2019,Medium
800,KTM,Apache,Engine,Overheating during long rides,43636,2016,High
801,Royal Enfield,Access 125,Brakes,Brake pads wearing out too fast,48477,2020,Medium
802,Yamaha,R15,Suspension,Bike not starting consistently,42316,2020,High
803,Yamaha,Pulsar,Transmission,Bike not starting consistently,48141,2024,Low
804,Yamaha,R15,Electrical,Overheating during long rides,43345,2017,High
805,Royal Enfield,FZ,Transmission,Poor mileage compared to normal,59817,2020,High
806,Suzuki,R15,Suspension,Brake pads wearing out too fast,53792,2020,Medium
807,Hero,Pulsar,Fuel System,Bike not starting consistently,46258,2023,High
808,Royal Enfield,Pulsar,Fuel System,Battery drains quickly,26383,2017,Low
809,Honda,Splendor,Suspension,Bike not starting consistently,55739,2020,High
810,Hero,Pulsar,Engine,Battery drains quickly,56884,2022,Medium
811,Yamaha,Access 125,Engine,Excessive vibration at high speed,35277,2024,Medium
812,Bajaj,Classic 350,Suspension,Gear shifting feels hard,47155,2021,Medium
813,TVS,Apache,Overheating,Poor mileage compared to normal,14019,2017,Medium
814,Honda,R15,Brakes,Bike not starting consistently,25317,2017,Medium
815,Bajaj,Duke 200,Fuel System,Brake pads wearing out too fast,12099,2018,Medium
816,Bajaj,Access 125,Transmission,Engine making unusual noise,9901,2021,Medium
817,Royal Enfield,FZ,Fuel System,Poor mileage compared to normal,5969,2023,Low
818,TVS,Splendor,Engine,Excessive vibration at high speed,49945,2021,High
819,Royal Enfield,R15,Electrical,Gear shifting feels hard,11168,2019,High
820,KTM,FZ,Electrical,Gear shifting feels hard,5090,2023,High
821,TVS,Classic 350,Transmission,Overheating during long rides,35333,2020,Medium
822,Royal Enfield,Classic 350,Transmission,Engine making unusual noise,30511,2022,High
823,Hero,FZ,Electrical,Bike not starting consistently,31827,2020,Low
824,TVS,Duke 200,Brakes,Battery drains quickly,5454,2015,High
825,KTM,Classic 350,Overheating,Engine making unusual noise,58426,2023,Medium
826,Yamaha,Apache,Transmission,Brake pads wearing out too fast,23630,2019,Medium
827,Hero,Access 125,Electrical,Engine making unusual noise,14547,2020,Medium
828,Bajaj,R15,Electrical,Overheating during long rides,38905,2024,Medium
829,Suzuki,Apache,Electrical,Poor mileage compared to normal,1260,2017,Low
830,KTM,FZ,Overheating,Gear shifting feels hard,41918,2016,Medium
831,Bajaj,Splendor,Electrical,Engine making unusual noise,25118,2021,High
832,Bajaj,Splendor,Electrical,Gear shifting feels hard,44810,2015,Medium
833,Royal Enfield,Splendor,Engine,Overheating during long rides,19342,2023,Low
834,KTM,Pulsar,Brakes,Poor mileage compared to normal,42421,2022,Medium
835,Hero,Classic 350,Brakes,Battery drains quickly,9821,2017,Medium
836,Royal Enfield,Splendor,Electrical,Battery drains quickly,22593,2020,High
837,Suzuki,Pulsar,Engine,Bike not starting consistently,11660,2018,Low
838,TVS,Pulsar,Fuel System,Engine making unusual noise,10254,2017,Medium
839,Yamaha,Access 125,Overheating,Gear shifting feels hard,18699,2023,High
840,Royal Enfield,Apache,Electrical,Overheating during long rides,653,2022,Low
841,Royal Enfield,Pulsar,Fuel System,Gear shifting feels hard,2357,2022,High
842,Honda,Access 125,Engine,Poor mileage compared to normal,25821,2021,Medium
843,Yamaha,Pulsar,Overheating,Battery drains quickly,24143,2024,Medium
844,Honda,Pulsar,Transmission,Poor mileage compared to normal,20425,2023,Medium
845,Yamaha,Apache,Overheating,Battery drains quickly,12048,2015,High
846,Hero,Classic 350,Brakes,Gear shifting feels hard,11294,2023,Medium
847,Yamaha,Splendor,Engine,Excessive vibration at high speed,4147,2019,Low
848,Suzuki,Classic 350,Fuel System,Poor mileage compared to normal,7587,2023,Medium
849,Hero,Classic 350,Transmission,Brake pads wearing out too fast,32106,2022,Low
850,Hero,Classic 350,Brakes,Engine making unusual noise,4376,2018,Low
851,Suzuki,Access 125,Brakes,Bike not starting consistently,28210,2018,High
852,Bajaj,Classic 350,Suspension,Bike not starting consistently,28899,2019,Low
853,Bajaj,Apache,Electrical,Battery drains quickly,36533,2016,Low
854,Royal Enfield,Splendor,Engine,Bike not starting consistently,53488,2015,High
855,Suzuki,Apache,Brakes,Excessive vibration at high speed,56004,2024,Low
856,Suzuki,Apache,Fuel System,Battery drains quickly,4265,2015,Low
857,KTM,Duke 200,Overheating,Engine making unusual noise,53016,2023,Low
858,TVS,Apache,Electrical,Bike not starting consistently,31920,2020,Medium
859,Bajaj,Classic 350,Suspension,Bike not starting consistently,11109,2019,Medium
860,Royal Enfield,Splendor,Brakes,Engine making unusual noise,52232,2021,Medium
861,Honda,Classic 350,Transmission,Overheating during long rides,51903,2024,High
862,KTM,Classic 350,Brakes,Excessive vibration at high speed,48098,2021,High
863,Bajaj,Access 125,Overheating,Gear shifting feels hard,54611,2021,High
864,Honda,Pulsar,Engine,Poor mileage compared to normal,19865,2018,Low
865,TVS,FZ,Electrical,Poor mileage compared to normal,55399,2016,High
866,Honda,Splendor,Transmission,Bike not starting consistently,32821,2018,High
867,KTM,FZ,Engine,Excessive vibration at high speed,32797,2022,Low
868,Honda,FZ,Suspension,Bike not starting consistently,5966,2020,Low
869,KTM,Splendor,Suspension,Gear shifting feels hard,23665,2018,High
870,TVS,FZ,Transmission,Poor mileage compared to normal,31760,2016,High
871,TVS,Access 125,Overheating,Overheating during long rides,39389,2018,High
872,TVS,Apache,Suspension,Engine making unusual noise,44601,2017,Medium
873,Royal Enfield,Apache,Transmission,Excessive vibration at high speed,37241,2017,Low
874,Suzuki,Pulsar,Electrical,Excessive vibration at high speed,56599,2019,Medium
875,Hero,Splendor,Overheating,Excessive vibration at high speed,4492,2016,Low
876,KTM,Splendor,Electrical,Bike not starting consistently,15886,2020,High
877,Hero,Classic 350,Suspension,Poor mileage compared to normal,29774,2018,High
878,KTM,Classic 350,Fuel System,Brake pads wearing out too fast,13385,2021,Low
879,Royal Enfield,Duke 200,Suspension,Bike not starting consistently,5672,2016,Medium
880,Hero,Pulsar,Brakes,Engine making unusual noise,8727,2019,High
881,KTM,Duke 200,Electrical,Brake pads wearing out too fast,44517,2018,High
882,Hero,R15,Brakes,Poor mileage compared to normal,54378,2018,Low
883,Suzuki,Apache,Transmission,Overheating during long rides,49987,2016,Low
884,TVS,Duke 200,Overheating,Engine making unusual noise,10230,2022,Medium
885,Bajaj,FZ,Transmission,Battery drains quickly,16024,2017,Medium
886,Suzuki,Access 125,Overheating,Bike not starting consistently,40591,2021,Low
887,Honda,Classic 350,Brakes,Overheating during long rides,35824,2016,Low
888,Suzuki,Pulsar,Transmission,Engine making unusual noise,28698,2019,Medium
889,TVS,Classic 350,Overheating,Bike not starting consistently,36074,2015,Low
890,Hero,Apache,Overheating,Engine making unusual noise,25771,2019,Medium
891,Honda,Splendor,Transmission,Poor mileage compared to normal,17204,2023,High
892,Yamaha,Splendor,Fuel System,Bike not starting consistently,16355,2019,Medium
893,Hero,Access 125,Overheating,Battery drains quickly,54502,2017,Low
894,TVS,FZ,Suspension,Battery drains quickly,44054,2022,Low
895,Honda,Classic 350,Electrical,Battery drains quickly,26079,2018,Medium
896,Royal Enfield,Access 125,Suspension,Gear shifting feels hard,50044,2020,Low
897,Royal Enfield,Splendor,Engine,Bike not starting consistently,53421,2022,Low
898,Yamaha,R15,Engine,Gear shifting feels hard,2963,2017,Low
899,TVS,Pulsar,Suspension,Brake pads wearing out too fast,29511,2019,Low
900,TVS,Classic 350,Engine,Brake pads wearing out too fast,16682,2022,Medium
901,KTM,FZ,Brakes,Excessive vibration at high speed,13904,2016,Low
902,Hero,Classic 350,Transmission,Battery drains quickly,11624,2022,High
903,Yamaha,Classic 350,Electrical,Engine making unusual noise,50026,2015,Medium
904,Yamaha,Classic 350,Overheating,Brake pads wearing out too fast,48296,2015,High
905,Yamaha,FZ,Overheating,Excessive vibration at high speed,41520,2015,High
906,Suzuki,Splendor,Engine,Engine making unusual noise,38401,2015,High
907,KTM,Pulsar,Suspension,Gear shifting feels hard,51314,2015,High
908,Suzuki,Classic 350,Overheating,Excessive vibration at high speed,30716,2022,High
909,Yamaha,Access 125,Overheating,Overheating during long rides,45737,2019,High
910,Bajaj,R15,Overheating,Bike not starting consistently,50100,2019,Low
911,Hero,Apache,Overheating,Overheating during long rides,28846,2017,Medium
912,Royal Enfield,Duke 200,Electrical,Brake pads wearing out too fast,36174,2024,High
913,Suzuki,Access 125,Electrical,Overheating during long rides,15264,2021,High
914,Hero,FZ,Brakes,Battery drains quickly,47836,2023,High
915,Bajaj,Pulsar,Engine,Excessive vibration at high speed,40598,2022,High
916,Hero,Pulsar,Suspension,Bike not starting consistently,44025,2018,Low
917,TVS,Classic 350,Engine,Bike not starting consistently,33256,2021,Medium
918,Yamaha,Pulsar,Transmission,Overheating during long rides,50874,2022,Low
919,Bajaj,FZ,Electrical,Excessive vibration at high speed,30725,2017,Low
920,Yamaha,Apache,Transmission,Battery drains quickly,46140,2016,High
921,Royal Enfield,R15,Overheating,Poor mileage compared to normal,34429,2024,Low
922,Honda,Classic 350,Overheating,Bike not starting consistently,32873,2024,Low
923,Hero,R15,Transmission,Overheating during long rides,34123,2017,Medium
924,Suzuki,Classic 350,Overheating,Excessive vibration at high speed,30096,2023,High
925,Yamaha,R15,Suspension,Poor mileage compared to normal,56784,2021,Medium
926,Royal Enfield,Duke 200,Suspension,Excessive vibration at high speed,5149,2020,Low
927,KTM,Pulsar,Brakes,Brake pads wearing out too fast,56649,2022,Low
928,Hero,Access 125,Brakes,Bike not starting consistently,4969,2021,Low
929,Suzuki,Duke 200,Overheating,Excessive vibration at high speed,53163,2017,Low
930,Royal Enfield,Pulsar,Transmission,Bike not starting consistently,32573,2021,High
931,TVS,Duke 200,Brakes,Brake pads wearing out too fast,48347,2017,High
932,Hero,R15,Brakes,Overheating during long rides,38909,2021,Low
933,Honda,Classic 350,Transmission,Poor mileage compared to normal,24393,2016,Medium
934,TVS,FZ,Brakes,Bike not starting consistently,11734,2024,Low
935,Bajaj,Classic 350,Transmission,Gear shifting feels hard,56701,2024,Medium
936,Suzuki,Access 125,Fuel System,Engine making unusual noise,57629,2024,Medium
937,Hero,Pulsar,Transmission,Battery drains quickly,41330,2015,Low
938,Hero,R15,Engine,Poor mileage compared to normal,36510,2021,Medium
939,Royal Enfield,Splendor,Overheating,Poor mileage compared to normal,27587,2019,Medium
940,Hero,Apache,Overheating,Excessive vibration at high speed,10543,2024,Low
941,Honda,Classic 350,Suspension,Brake pads wearing out too fast,27515,2021,Medium
942,Bajaj,Duke 200,Brakes,Poor mileage compared to normal,13630,2022,Low
943,KTM,R15,Suspension,Overheating during long rides,49520,2015,High
944,Suzuki,Splendor,Transmission,Bike not starting consistently,56542,2024,Medium
945,Suzuki,Apache,Transmission,Battery drains quickly,4186,2015,Medium
946,Bajaj,Splendor,Transmission,Battery drains quickly,56368,2016,High
947,Bajaj,Duke 200,Overheating,Overheating during long rides,25955,2019,Low
948,KTM,Duke 200,Electrical,Brake pads wearing out too fast,25341,2022,Low
949,TVS,Access 125,Fuel System,Gear shifting feels hard,40826,2015,High
950,Yamaha,Splendor,Brakes,Battery drains quickly,34224,2024,Medium
951,Bajaj,Splendor,Engine,Gear shifting feels hard,42530,2018,Low
952,KTM,R15,Brakes,Bike not starting consistently,56433,2021,High
953,Honda,Classic 350,Fuel System,Overheating during long rides,59790,2015,High
954,TVS,Pulsar,Transmission,Overheating during long rides,12884,2022,Medium
955,Royal Enfield,Apache,Transmission,Bike not starting consistently,57638,2019,Low
956,Royal Enfield,Classic 350,Engine,Overheating during long rides,55230,2024,Low
957,TVS,FZ,Transmission,Battery drains quickly,52873,2021,High
958,Hero,Splendor,Transmission,Battery drains quickly,28190,2019,Medium
959,Royal Enfield,Splendor,Engine,Overheating during long rides,52250,2021,Low
960,TVS,FZ,Electrical,Poor mileage compared to normal,41728,2019,Medium
961,KTM,Splendor,Overheating,Poor mileage compared to normal,29386,2017,Low
962,Royal Enfield,Access 125,Fuel System,Gear shifting feels hard,47359,2021,Medium
963,KTM,Classic 350,Fuel System,Excessive vibration at high speed,18934,2019,High
964,Bajaj,R15,Transmission,Excessive vibration at high speed,29434,2018,Medium
965,Bajaj,Apache,Transmission,Excessive vibration at high speed,28675,2017,Medium
966,Bajaj,Apache,Fuel System,Gear shifting feels hard,22550,2024,Low
967,KTM,Splendor,Electrical,Brake pads wearing out too fast,50692,2021,High
968,Honda,Classic 350,Engine,Brake pads wearing out too fast,4122,2020,High
969,Honda,Classic 350,Engine,Poor mileage compared to normal,48280,2016,Low
970,Suzuki,Splendor,Electrical,Battery drains quickly,25262,2017,High
971,Bajaj,FZ,Engine,Engine making unusual noise,2383,2018,Medium
972,Yamaha,Pulsar,Overheating,Gear shifting feels hard,14081,2017,High
973,Bajaj,Pulsar,Suspension,Excessive vibration at high speed,48670,2019,Low
974,Honda,Duke 200,Transmission,Poor mileage compared to normal,11815,2021,Medium
975,KTM,Classic 350,Transmission,Bike not starting consistently,55741,2015,High
976,Honda,Classic 350,Transmission,Gear shifting feels hard,1251,2023,Low
977,Yamaha,R15,Overheating,Poor mileage compared to normal,34241,2017,High
978,KTM,R15,Suspension,Engine making unusual noise,14758,2022,High
979,KTM,Duke 200,Electrical,Battery drains quickly,50262,2015,Low
980,KTM,Splendor,Engine,Overheating during long rides,45244,2019,High
981,Hero,Access 125,Transmission,Engine making unusual noise,58227,2016,Medium
982,Bajaj,Pulsar,Transmission,Engine making unusual noise,19054,2017,High
983,TVS,Splendor,Fuel System,Battery drains quickly,49338,2017,Medium
984,Suzuki,Splendor,Suspension,Excessive vibration at high speed,9013,2016,High
985,Hero,Pulsar,Suspension,Bike not starting consistently,40756,2021,Low
986,Honda,Splendor,Suspension,Battery drains quickly,11593,2023,Low
987,Bajaj,Apache,Engine,Gear shifting feels hard,7426,2019,High
988,KTM,Pulsar,Fuel System,Battery drains quickly,11412,2023,High
989,Royal Enfield,FZ,Brakes,Engine making unusual noise,23743,2017,High
990,Bajaj,R15,Engine,Overheating during long rides,30037,2020,Low
991,Suzuki,Duke 200,Electrical,Bike not starting consistently,33841,2022,Low
992,Suzuki,FZ,Brakes,Overheating during long rides,56498,2021,High
993,Honda,R15,Transmission,Overheating during long rides,9130,2024,Low
994,Suzuki,Splendor,Fuel System,Poor mileage compared to normal,4614,2022,Low
995,Honda,FZ,Suspension,Brake pads wearing out too fast,40497,2017,Medium
996,Honda,Apache,Electrical,Gear shifting feels hard,30914,2019,Low
997,Hero,Access 125,Brakes,Brake pads wearing out too fast,34380,2021,High
998,Royal Enfield,Access 125,Engine,Overheating during long rides,43391,2024,Low
999,KTM,R15,Engine,Brake pads wearing out too fast,54202,2017,High
1000,Royal Enfield,R15,Electrical,Gear shifting feels hard,36663,2023,High
